Priority,PageValue,OpportunityGap,actionable,path,type,status,views_90d,sessions_90d,sessions_365d,organic_365d,begin_checkout,purchase,generate_lead,engaged_rate_90d,sec_per_session_90d,word_count,jsonld_types,missing_meta_desc,missing_og_image,images_missing_alt,has_proof,issues,slug
18.1,54.5,33.3,yes,/3-4-month-baby-sleep-course,course,200,182,147,2965,27,0,0,0,0.58,24.4,1609,,0,0,1,yes,no_jsonld;images_missing_alt:1,3_4_month_baby_sleep_course
17.4,30.5,57.1,yes,/blog/babyzen-yoyo-travel-stroller-review-you-can-stop-googling-now-this-is-the-stroller-for-you,blog,200,20,19,189,155,0,0,0,0.47,22.1,1102,,0,0,9,footer_only,no_jsonld;images_missing_alt:9,blog_babyzen_yoyo_travel_stroller_review_you_can_stop_googling_now_this_is_the_stroller_for_you
17.4,36.5,47.6,yes,/blog,blog,200,123,91,836,0,0,0,0,0.44,12.0,712,,0,0,4,footer_only,no_jsonld;images_missing_alt:4,blog
17.2,40.2,42.9,yes,/4-month-sleep-regression-survival-guide,age_help,200,20,15,137,56,0,0,0,0.73,21.2,380,,0,0,3,none,no_jsonld;images_missing_alt:3,4_month_sleep_regression_survival_guide
16.6,38.8,42.9,no,/snooze-library,other,200,157,93,673,59,0,0,0,0.87,9.6,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),snooze_library
16.5,49.6,33.3,yes,/toddler-toolkit,age_help,200,152,127,547,27,0,0,0,0.73,25.2,1663,,0,0,1,yes,no_jsonld;images_missing_alt:1,toddler_toolkit
16.0,37.3,42.9,no,/products/newborn-sleep-guide,product,200,17,13,0,0,0,0,0,1.0,38.2,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_newborn_sleep_guide
15.2,35.5,42.9,no,/downloads/catnapping-guide,lead_magnet,200,31,26,111,0,0,0,0,0.88,5.6,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),downloads_catnapping_guide
14.4,37.7,38.1,yes,/blog/mystery-of-missing-third-nap-early-rising,blog,200,23,21,202,99,0,0,0,0.76,61.8,662,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_mystery_of_missing_third_nap_early_rising
14.4,18.9,76.2,yes,/3-4-month-baby-sleep-course-terms-and-conditions,course,200,0,0,0,0,0,0,0,0,0,468,,1,1,1,none,missing_meta_description;missing_h1;no_jsonld;missing_og_image;images_missing_alt:1,3_4_month_baby_sleep_course_terms_and_conditions
13.4,31.3,42.9,no,/offers/6irarwak/checkout,checkout,200,0,0,1165,0,0,0,0,0,0,66,,0,0,0,footer_only,status_403;login_gated;thin_content(<250w),offers_6iRarwak_checkout
13.3,31.1,42.9,no,/downloads/the-roadmap-to-a-smooth-3-to-2-nap-transition-6-9-month-old-babies,lead_magnet,200,47,43,0,0,0,0,0,0.91,6.8,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),downloads_the_roadmap_to_a_smooth_3_to_2_nap_transition_6_9_month_old_babies
13.3,20.0,66.7,yes,/thankyou/lmcr08-access,checkout,200,0,0,0,0,0,0,0,0,0,250,,1,1,1,none,missing_meta_description;no_jsonld;missing_og_image;images_missing_alt:1,thankyou_lmcr08_access
13.2,39.6,33.3,yes,/newborn-sleep-guide,lead_magnet,200,65,56,201,0,0,0,0,0.64,16.7,1827,,0,0,1,yes,no_jsonld;images_missing_alt:1,newborn_sleep_guide
13.0,30.3,42.9,yes,/blog/my-honest-snoo-experience-and-review,blog,200,12,11,151,60,0,0,0,0.55,33.2,1018,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_my_honest_snoo_experience_and_review
12.5,32.7,38.1,yes,/blog/navigating-split-nights-a-guide-for-parents,lead_magnet,200,15,11,118,80,0,0,0,0.45,28.6,814,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_navigating_split_nights_a_guide_for_parents
12.2,32.0,38.1,yes,/blog/guide-to-self-settling-sleep-cycles,lead_magnet,200,20,14,119,18,0,0,0,0.36,27.1,804,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_guide_to_self_settling_sleep_cycles
11.8,35.5,33.3,yes,/toddler-sleep-help,age_help,200,16,13,350,33,0,0,0,0.38,6.7,740,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,toddler_sleep_help
11.6,30.5,38.1,yes,/blog/all-about-the-8-10-month-sleep-regression,blog,200,22,20,267,169,0,0,0,0.45,16.6,680,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_all_about_the_8_10_month_sleep_regression
10.9,28.7,38.1,yes,/blog/dr-harvey-karps-5-ss-to-soothe-your-crying-baby,blog,200,21,21,171,98,0,0,0,0.33,21.9,916,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_dr_harvey_karps_5_ss_to_soothe_your_crying_baby
10.5,55.2,19.0,yes,/,home,200,837,697,8106,2851,0,0,0,0.64,15.1,2003,VideoObject,0,0,2,yes,missing_org_schema;images_missing_alt:2,home
10.1,23.5,42.9,no,/downloads/baby-sleep-guide-5-to-12-months,lead_magnet,200,0,0,1190,51,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),downloads_baby_sleep_guide_5_to_12_months
9.7,40.7,23.8,yes,/login,system_legal,200,1150,832,7576,831,0,0,0,0.66,7.1,56,,0,0,0,footer_only,thin_content(<250w),login
9.5,28.6,33.3,yes,/terms-conditions,system_legal,200,41,40,162,0,0,0,0,0.72,29.5,2252,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,terms_conditions
9.2,27.5,33.3,yes,/5-12-month-baby-sleep-help,age_help,200,0,0,1650,121,0,0,0,0,0,764,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,5_12_month_baby_sleep_help
9.1,27.3,33.3,yes,/recommended-products,other,200,13,10,162,26,0,0,0,0.7,7.3,735,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,recommended_products
8.9,26.6,33.3,yes,/3-4-month-baby-sleep-help,age_help,200,0,0,1058,35,0,0,0,0,0,1300,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,3_4_month_baby_sleep_help
8.6,20.0,42.9,no,/offers/zaybidqh,checkout,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),offers_zAybiDqh
8.6,20.0,42.9,no,/offers/5xl3narf/checkout,checkout,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,status_403;login_gated;thin_content(<250w),offers_5xL3NaRf_checkout
8.6,20.0,42.9,no,/offers/murw6ug5,checkout,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),offers_muRW6ug5
8.6,25.7,33.3,yes,/newborn-baby-sleep-help,age_help,200,0,0,672,18,0,0,0,0,0,740,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,newborn_baby_sleep_help
8.6,20.0,42.9,no,/offers/murw6ug5/checkout,checkout,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,status_403;login_gated;thin_content(<250w),offers_muRW6ug5_checkout
8.4,25.3,33.3,yes,/privacy-policy,system_legal,200,116,117,146,0,0,0,0,0.74,2.6,2080,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,privacy_policy
7.1,16.5,42.9,no,/get-great-baby-sleep,other,404,0,0,566,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),get_great_baby_sleep
7.0,20.9,33.3,yes,/snooze-social-terms-and-conditions,system_legal,200,15,12,126,35,0,0,0,0.83,5.4,624,,0,0,1,none,no_jsonld;images_missing_alt:1,snooze_social_terms_and_conditions
6.2,14.4,42.9,no,/products/communities/v2/snooze/library,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_communities_v2_snooze_library
6.2,14.4,42.9,no,/products/communities/v2/snooze,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_communities_v2_snooze
6.2,14.4,42.9,no,/products/the-snooze-method-5-12-month-sleep,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_the_snooze_method_5_12_month_sleep
6.2,14.4,42.9,no,/products/settling-techniques-module-from-snooze-by-the-sleep-concierge,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_settling_techniques_module_from_snooze_by_the_sleep_concierge
6.2,14.4,42.9,no,/products/communities/v2/snooze/resource/9f86d81f-18f7-494e-bad0-60ead4a4fde0,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_communities_v2_snooze_resource_9f86d81f_18f7_494e_bad0_60ead4a4fde0
6.2,14.4,42.9,no,/products/3-4-month-baby-sleep-course-by-the-sleep-concierge,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_3_4_month_baby_sleep_course_by_the_sleep_concierge
6.2,14.4,42.9,no,/products/the-snooze-method,product,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_the_snooze_method
6.0,14.0,42.9,no,/account,system_legal,404,23,18,0,0,0,0,0,0.78,4.1,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),account
5.4,12.5,42.9,no,/snooze,other,404,0,0,72,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),snooze
5.2,12.2,42.9,no,/downloads/newborn-sleep-guide-by-the-sleep-concierge,lead_magnet,200,0,0,0,0,0,0,0,0,0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),downloads_newborn_sleep_guide_by_the_sleep_concierge
4.8,20.0,23.8,yes,/offers/4hqjfjgc/checkout,checkout,200,0,0,0,0,0,0,0,0,0,24,,0,0,3,none,thin_content(<250w),offers_4HQjFJGC_checkout
4.6,12.2,38.1,yes,/blog/baby-catnaps-tips-guide,lead_magnet,200,0,0,0,0,0,0,0,0,0,665,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_baby_catnaps_tips_guide
4.5,6.7,66.7,yes,/free-4-month-regression-masterclass-signup,other,200,0,0,0,0,0,0,0,0,0,41,,0,0,1,none,missing_h1;no_jsonld;thin_content;images_missing_alt:1,free_4_month_regression_masterclass_signup
4.3,15.2,28.6,no,/about,other,200,0,0,289,0,0,0,0,0,0,2003,VideoObject,0,0,2,yes,redirect_302;missing_org_schema;images_missing_alt:2,about
4.2,17.5,23.8,yes,/password/new,system_legal,200,29,27,0,0,0,0,0,1.0,5.4,49,,0,0,0,footer_only,thin_content(<250w),password_new
3.8,8.9,42.9,no,/sleep-glossary,glossary,404,0,0,0,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),sleep_glossary
3.7,7.8,47.6,yes,/blog/dressing-baby-for-bedtime,blog,200,0,0,0,0,0,0,0,0,0,371,,0,0,4,footer_only,no_jsonld;images_missing_alt:4,blog_dressing_baby_for_bedtime
3.3,7.8,42.9,yes,/blog/glow-dreaming-white-noise-review,blog,200,0,0,0,17,0,0,0,0,0,341,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_glow_dreaming_white_noise_review
3.3,7.8,42.9,yes,/blog/developing-positive-cot-association-with-your-baby,blog,200,0,0,0,0,0,0,0,0,0,279,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_developing_positive_cot_association_with_your_baby
3.3,7.8,42.9,yes,/blog/shifting-your-babys-bedtime-for-daylight-savings,blog,200,0,0,0,0,0,0,0,0,0,475,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_shifting_your_babys_bedtime_for_daylight_savings
3.3,7.8,42.9,yes,/blog/how-to-do-skin-to-skin-without-breastfeeding,blog,200,0,0,0,0,0,0,0,0,0,527,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_how_to_do_skin_to_skin_without_breastfeeding
3.3,7.8,42.9,yes,/blog/how-to-manage-your-babys-reflux-and-sleep,blog,200,0,0,0,44,0,0,0,0,0,917,,0,0,3,footer_only,no_jsonld;images_missing_alt:3,blog_how_to_manage_your_babys_reflux_and_sleep
3.0,7.8,38.1,yes,/blog/navigating-childcare-and-your-childs-sleep-routine,blog,200,0,0,0,28,0,0,0,0,0,1235,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_navigating_childcare_and_your_childs_sleep_routine
3.0,7.8,38.1,yes,/blog/create-meaningful-morning-rituals-for-baby,blog,200,0,0,0,0,0,0,0,0,0,762,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_create_meaningful_morning_rituals_for_baby
3.0,7.8,38.1,yes,/blog/newborn-babys-and-naps,blog,200,0,0,0,0,0,0,0,0,0,941,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_newborn_babys_and_naps
3.0,7.8,38.1,yes,/blog/transitioning-your-baby-from-2-naps-to-1,blog,200,0,0,0,34,0,0,0,0,0,529,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_transitioning_your_baby_from_2_naps_to_1
3.0,7.8,38.1,yes,/blog/supporting-parents-of-rainbow-babies,blog,200,0,0,0,0,0,0,0,0,0,604,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_supporting_parents_of_rainbow_babies
3.0,7.8,38.1,yes,/blog/stop-swaddle-time-for-your-baby,blog,200,0,0,0,0,0,0,0,0,0,768,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_stop_swaddle_time_for_your_baby
3.0,7.8,38.1,yes,/blog/how-to-make-change-when-the-4-month-sleep-regressions-hits,blog,200,0,0,0,0,0,0,0,0,0,918,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_how_to_make_change_when_the_4_month_sleep_regressions_hits
3.0,7.8,38.1,yes,/blog/newborn-sleep-and-the-fourth-trimester,blog,200,0,0,0,0,0,0,0,0,0,1103,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_newborn_sleep_and_the_fourth_trimester
3.0,7.8,38.1,yes,/blog/what-are-assisted-sleep-associations,blog,200,0,0,0,0,0,0,0,0,0,552,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_what_are_assisted_sleep_associations
3.0,7.8,38.1,yes,/blog/will-my-baby-cry-when-making-sleep-changes-lets-talk-about-it,blog,200,0,0,0,0,0,0,0,0,0,803,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_will_my_baby_cry_when_making_sleep_changes_lets_talk_about_it
3.0,7.8,38.1,yes,/blog/should-we-discourage-babys-thumb-and-finger-sucking,blog,200,0,0,0,29,0,0,0,0,0,482,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_should_we_discourage_babys_thumb_and_finger_sucking
3.0,7.8,38.1,yes,/blog/4-month-regression-or-progression,blog,200,0,0,0,0,0,0,0,0,0,923,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_4_month_regression_or_progression
3.0,7.8,38.1,yes,/blog/the-power-of-calm-but-awake-for-babies,blog,200,0,0,0,22,0,0,0,0,0,762,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_the_power_of_calm_but_awake_for_babies
3.0,7.8,38.1,yes,/blog/tips-for-managing-baby-early-wake-ups,blog,200,0,0,0,0,0,0,0,0,0,980,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_tips_for_managing_baby_early_wake_ups
3.0,7.8,38.1,yes,/blog/7-tips-for-maintaining-you-babys-sleep-while-travelling,blog,200,0,0,0,0,0,0,0,0,0,802,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_7_tips_for_maintaining_you_babys_sleep_while_travelling
3.0,7.8,38.1,yes,/blog/baby-sleep-schedule-wake-windows-vs-clock-schedules,blog,200,0,0,0,46,0,0,0,0,0,1208,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_baby_sleep_schedule_wake_windows_vs_clock_schedules
3.0,7.8,38.1,yes,/blog/stop-4-month-babies-sleep-regression-fear,blog,200,0,0,0,0,0,0,0,0,0,1033,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_stop_4_month_babies_sleep_regression_fear
3.0,7.8,38.1,yes,/blog/my-snoo-review,blog,200,0,0,0,0,0,0,0,0,0,1462,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_my_snoo_review
3.0,7.8,38.1,yes,/blog/when-to-lower-the-cot-mattress,blog,200,0,0,0,42,0,0,0,0,0,397,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_when_to_lower_the_cot_mattress
3.0,7.8,38.1,yes,/blog/sick-babies-and-sleep,blog,200,0,0,0,0,0,0,0,0,0,263,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_sick_babies_and_sleep
3.0,7.8,38.1,yes,/blog/why-am-i-the-sleep-concierge,blog,200,0,0,0,0,0,0,0,0,0,395,,0,0,2,footer_only,no_jsonld;images_missing_alt:2,blog_why_am_i_the_sleep_concierge
2.9,6.7,42.9,no,/snooze-village,other,404,0,0,0,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),snooze_village
2.9,6.7,42.9,no,/snooze-method,other,404,0,0,0,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),snooze_method
2.9,6.7,42.9,no,/cdn-cgi/l/email-protection,other,404,0,0,0,0,0,0,0,0,0,110,,1,1,0,none,status_404;non_200_final_404;thin_content(<250w),cdn_cgi_l_email_protection
2.5,7.5,33.3,yes,/store,system_legal,200,0,0,169,56,0,0,0,0,0,612,,0,0,1,footer_only,no_jsonld;images_missing_alt:1,store
2.5,8.9,28.6,yes,/baby-sleep-glossary,glossary,200,0,0,0,0,0,0,0,0,0,1659,"DefinedTermSet,BreadcrumbList",0,1,1,none,missing_org_schema;missing_og_image;images_missing_alt:1,baby_sleep_glossary
1.9,20.0,9.5,no,/offers/z63s9var,checkout,200,0,0,0,0,0,0,0,0,0,657,,0,0,2,none,redirect_302,offers_z63s9VaR
1.9,6.7,28.6,yes,/3-4-month-masterclass-replay,other,200,0,0,0,0,0,0,0,0,0,982,VideoObject,0,0,4,none,missing_org_schema;images_missing_alt:4,3_4_month_masterclass_replay
1.9,20.0,9.5,no,/offers/4zhpsrcs,checkout,200,0,0,0,0,0,0,0,0,0,789,,0,0,4,none,redirect_302,offers_4zHPSRCs
0.0,0.0,42.9,no,/privacy,system_legal,404,0,0,0,0,0,0,0,0,0,56,,1,1,0,footer_only,status_404;non_200_final_404;thin_content(<250w),privacy
0.0,20.0,0.0,yes,/offers/fktmjavj/checkout,checkout,200,0,0,0,0,0,0,0,0,0,458,,0,0,2,none,,offers_FktmJAvJ_checkout
0.0,36.1,0.0,yes,/offers/9dfjswvd/checkout,checkout,200,12,11,0,0,0,0,0,0.73,17.7,462,,0,0,2,none,,offers_9DFJSwVD_checkout
0.0,30.5,0.0,yes,/offers/w2pyql2x/checkout,checkout,200,0,0,782,0,0,0,0,0,0,463,,0,0,2,none,,offers_W2PyqL2X_checkout
0.0,30.7,0.0,yes,/offers/uxwneffg/checkout,checkout,200,16,13,0,0,0,0,0,0.23,18.5,661,,0,0,2,none,,offers_uxWnEfFg_checkout
0.0,20.0,0.0,yes,/offers/ommcvgai/checkout,checkout,200,0,0,0,0,0,0,0,0,0,456,,0,0,2,none,,offers_omMcVgAi_checkout
0.0,30.3,0.0,yes,/offers/jrxwanvo/checkout,checkout,200,0,0,704,0,0,0,0,0,0,557,,0,0,2,none,,offers_jRxWAnVo_checkout
0.0,38.6,0.0,yes,/offers/k3y6fekx/checkout,checkout,200,30,28,0,0,0,0,0,0.82,11.9,591,,0,0,2,none,,offers_K3Y6FEKX_checkout
0.0,20.0,0.0,yes,/offers/igbtdrbk/checkout,checkout,200,0,0,0,0,0,0,0,0,0,1032,,0,0,2,none,,offers_igbTdRbk_checkout
0.0,20.0,0.0,yes,/offers/mwisia6a/checkout,checkout,200,0,0,0,0,0,0,0,0,0,564,,0,0,3,none,,offers_mwiSia6A_checkout
