Project,Category,Asset,Folder,HTML,Wrapper ID,CSS,JS,Live URL,Notes,Status
snooze-website,Website Page,Age Page - Newborn,projects/snooze-website/kajabi-deployment/pages/website/age-pages,projects/snooze-website/kajabi-deployment/pages/website/age-pages/newborn-page-complete.html,age-newborn-page,,,https://joinsnooze.com/newborn-baby-sleep-help,,Deployed
snooze-website,Website Page,Age Page - 3-4 Month,projects/snooze-website/kajabi-deployment/pages/website/age-pages,projects/snooze-website/kajabi-deployment/pages/website/age-pages/3-4-month-page-complete.html,age-3-4-month-page,,,https://joinsnooze.com/3-4-month-baby-sleep-help,,Deployed
snooze-website,Website Page,Age Page - 5-12 Month,projects/snooze-website/kajabi-deployment/pages/website/age-pages,projects/snooze-website/kajabi-deployment/pages/website/age-pages/5-12-month-page-complete.html,age-5-12-month-page,,,https://joinsnooze.com/5-12-month-baby-sleep-help,,Deployed
snooze-website,Website Page,Age Page - Toddler,projects/snooze-website/kajabi-deployment/pages/website/age-pages,projects/snooze-website/kajabi-deployment/pages/website/age-pages/toddler-page-complete.html,age-toddler-page,,,https://joinsnooze.com/toddler-sleep-help,,Deployed
snooze-website,Website Page,Contact,projects/snooze-website/kajabi-deployment/pages/website/contact,projects/snooze-website/kajabi-deployment/pages/website/contact/contact-page-complete.html,contact-page,,,https://joinsnooze.com/contact,,Deployed
snooze-website,Website Page,Terms and Conditions,projects/snooze-website/kajabi-deployment/pages/website/terms-conditions,projects/snooze-website/kajabi-deployment/pages/website/terms-conditions/terms-conditions.html,terms-conditions-page,,,https://joinsnooze.com/terms-conditions,,Deployed
snooze-website,Website Page,Privacy Policy,projects/snooze-website/kajabi-deployment/pages/website/privacy-policy,projects/snooze-website/kajabi-deployment/pages/website/privacy-policy/privacy-policy.html,privacy-policy-page,,,https://joinsnooze.com/privacy-policy,,Deployed
snooze-website,Landing Page,Cold Traffic Landing Page,projects/snooze-website/kajabi-deployment/pages/landing/cold-traffic-landing-page,projects/snooze-website/kajabi-deployment/pages/landing/cold-traffic-landing-page/cold-traffic-landing-page-blocks.html,,,,https://joinsnooze.com/get-great-baby-sleep,,Deployed
snooze-website,Landing Page,Camp Snooze (Base),projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze,projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-thank-you-page.html,,,,,,Staging
snooze-website,Landing Page,Camp Snooze V2 Luxury,projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury,projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-landing-page-blocks.html; projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-waitlist-next-steps.html,,projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-v2-luxury.css; projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-waitlist-next-steps.css,projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-v2-luxury.js; projects/snooze-website/kajabi-deployment/pages/landing/camp-snooze/camp-snooze-v2-luxury/camp-snooze-waitlist-next-steps.js,,,Staging
snooze-website,Website Page,Product Page - 3-4 Month Course,projects/snooze-website/kajabi-deployment/pages/website/product-pages/3-4-month-course,projects/snooze-website/kajabi-deployment/pages/website/product-pages/3-4-month-course/3-4-month-course-landing-page.html,product-3-4-month-course-page,,,https://joinsnooze.com/3-4-month-baby-sleep-course,,Deployed
snooze-website,Website Page,Product Page - 5-12 Month Course,projects/snooze-website/kajabi-deployment/pages/website/product-pages/5-12-month-course,projects/snooze-website/kajabi-deployment/pages/website/product-pages/5-12-month-course/5-12-month-guide-landing-page.html,product-5-12-month-course-page,,,https://joinsnooze.com/5-12-month-baby-sleep-course,,Deployed
snooze-website,Website Page,Product Page - Newborn Guide,projects/snooze-website/kajabi-deployment/pages/website/product-pages/newborn-guide,projects/snooze-website/kajabi-deployment/pages/website/product-pages/newborn-guide/newborn-guide-landing-page.html,product-newborn-guide-page,,,https://joinsnooze.com/newborn-sleep-guide,,Deployed
snooze-website,Website Page,Product Page - Snooze Method,projects/snooze-website/kajabi-deployment/pages/website/product-pages/snooze-method,projects/snooze-website/kajabi-deployment/pages/website/product-pages/snooze-method/snooze-method-landing-page.html,product-snooze-method-page,,,https://joinsnooze.com/snooze-method,,Deployed
snooze-website,Website Page,Product Page - Toddler Toolkit,projects/snooze-website/kajabi-deployment/pages/website/product-pages/toddler-toolkit,projects/snooze-website/kajabi-deployment/pages/website/product-pages/toddler-toolkit/toddler-toolkit-landing-page.html,product-toddler-toolkit-page,,,https://joinsnooze.com/toddler-toolkit,,Deployed
snooze-website,Checkout Page,Day Pass Offer,projects/snooze-website/kajabi-deployment/pages/checkout/day-pass-offer,projects/snooze-website/kajabi-deployment/pages/checkout/day-pass-offer/checkout-page.html,,,,,,Staging
snooze-website,Checkout Page,1 Month Free Membership,projects/snooze-website/kajabi-deployment/pages/checkout/1-month-free-membership,projects/snooze-website/kajabi-deployment/pages/checkout/1-month-free-membership/1-month-free-checkout-blocks.html; projects/snooze-website/kajabi-deployment/pages/checkout/1-month-free-membership/1-month-free-thank-you-page.html,,projects/snooze-website/kajabi-deployment/pages/checkout/1-month-free-membership/1-month-free-checkout.css,projects/snooze-website/kajabi-deployment/pages/checkout/1-month-free-membership/1-month-free-checkout.js,,,Staging
snooze-website,Checkout Page,7 Day Trial Membership,projects/snooze-website/kajabi-deployment/pages/checkout/7-day-trial-membership,projects/snooze-website/kajabi-deployment/pages/checkout/7-day-trial-membership/7-day-trial-checkout-blocks.html; projects/snooze-website/kajabi-deployment/pages/checkout/7-day-trial-membership/7-day-trial-thank-you-page.html,,projects/snooze-website/kajabi-deployment/pages/checkout/7-day-trial-membership/7-day-trial-checkout.css,projects/snooze-website/kajabi-deployment/pages/checkout/7-day-trial-membership/7-day-trial-checkout.js,,,Staging
snooze-website,Checkout Page,BAU Membership Checkout,projects/snooze-website/kajabi-deployment/pages/checkout/bau-membership-checkout,projects/snooze-website/kajabi-deployment/pages/checkout/bau-membership-checkout/bau-membership-checkout-blocks.html,,projects/snooze-website/kajabi-deployment/pages/checkout/bau-membership-checkout/bau-membership-checkout.css,projects/snooze-website/kajabi-deployment/pages/checkout/bau-membership-checkout/bau-membership-checkout.js,https://joinsnooze.com/offers/z63s9VaR,,Deployed
snooze-website,Checkout Page,Camp Snooze V2 Checkout,projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury,projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury/camp-snooze-bundle-checkout-blocks.html; projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury/camp-snooze-checkout-blocks.html; projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury/camp-snooze-member-checkout-blocks.html,,projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury/camp-snooze-v2-checkout.css,projects/snooze-website/kajabi-deployment/pages/checkout/camp-snooze-v2-luxury/camp-snooze-v2-checkout.js,https://joinsnooze.com/offers/muRW6ug5/checkout; https://www.joinsnooze.com/offers/muRW6ug5?coupon_code=SNOOZEJAN26; https://joinsnooze.com/offers/K3Y6FEKX/checkout,,Deployed
